model,subject,emb_type,num_generated_images,fid_score
Nerv2,sub-01,eeg_embeds,400,257.3903782698885
Nerv2,sub-01,image_embeds,400,99.56626496097988
Nerv2,sub-01,pipe_output,400,205.30349544520797
Nerv2,sub-10,pipe_output,200,245.2192119609608
Nerv2,sub-10,eeg_embeds,200,256.6325592974447
Nerv2,sub-10,image_embeds,200,99.56626496097988
Nerv2,sub-05,pipe_output,200,224.42493257197393
Nerv2,sub-05,image_embeds,200,99.56626496097988
Nerv2,sub-05,eeg_embeds,200,268.3890990519624
Nerv2,sub-08,image_embeds,200,99.56626496097988
Nerv2,sub-08,eeg_embeds,200,243.61202376331906
Nerv2,sub-08,pipe_output,200,225.67995628804061
Nerv2,sub-06,image_embeds,200,99.56626496097988
Nerv2,sub-06,pipe_output,200,223.31204931319797
Nerv2,sub-06,eeg_embeds,200,235.4632572976114
Nerv2,sub-04,image_embeds,200,99.56626496097988
Nerv2,sub-04,eeg_embeds,200,266.3161366113198
Nerv2,sub-04,pipe_output,200,267.53807287044316
Nerv2,sub-02,pipe_output,200,240.54809682278028
Nerv2,sub-02,image_embeds,200,99.56626496097988
Nerv2,sub-02,eeg_embeds,200,244.98195540785585
Nerv2,sub-03,eeg_embeds,200,263.2852910476283
Nerv2,sub-03,pipe_output,200,262.46296061447356
Nerv2,sub-03,image_embeds,200,99.56626496097988
Nerv2,sub-09,image_embeds,200,99.56626496097988
Nerv2,sub-09,eeg_embeds,200,212.7418942138641
Nerv2,sub-09,pipe_output,200,263.5200390384424
Nerv2,sub-07,pipe_output,200,247.69053450884462
Nerv2,sub-07,image_embeds,200,99.56626496097988
Nerv2,sub-07,eeg_embeds,200,263.50337932489674
